month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
12,31,11,15,06:33 AM,05:26 PM,08:02 PM,08:17 AM,6,ENE,0.0,38,32,1021,Partly cloudy
12,30,10,15,06:33 AM,05:26 PM,07:10 PM,07:37 AM,16,NNE,0.0,49,38,1024,Partly cloudy
12,29,12,23,06:32 AM,05:25 PM,06:18 PM,06:53 AM,10,NE,3.2,79,80,1015,Moderate rain at times
12,28,16,20,06:32 AM,05:24 PM,05:27 PM,06:08 AM,5,E,0.6,83,72,1014,Patchy rain possible
12,27,16,20,06:32 AM,05:24 PM,04:36 PM,05:20 AM,5,ESE,2.1,83,85,1015,Patchy rain possible
12,26,17,20,06:31 AM,05:23 PM,03:48 PM,04:31 AM,5,S,4.1,85,97,1016,Moderate rain at times
12,25,12,20,06:31 AM,05:23 PM,03:02 PM,03:41 AM,5,SSE,0.0,78,61,1017,Cloudy
12,24,10,19,06:30 AM,05:22 PM,02:18 PM,02:51 AM,6,E,0.0,61,16,1021,Sunny
12,23,11,15,06:30 AM,05:22 PM,01:37 PM,02:00 AM,12,SE,0.1,59,45,1026,Partly cloudy
12,22,14,19,06:29 AM,05:21 PM,12:58 PM,01:09 AM,12,NNE,3.0,72,90,1019,Patchy rain possible
12,21,19,26,06:29 AM,05:21 PM,12:20 PM,12:18 AM,6,SSW,0.0,83,63,1013,Cloudy
12,20,18,25,06:28 AM,05:20 PM,11:43 AM,No moonset,6,SSE,0.0,84,59,1013,Cloudy
12,19,14,20,06:28 AM,05:20 PM,11:04 AM,11:26 PM,8,E,0.0,72,60,1017,Cloudy
12,18,16,24,06:27 AM,05:19 PM,10:24 AM,10:31 PM,12,NE,4.5,74,73,1019,Moderate rain at times
12,17,21,28,06:27 AM,05:19 PM,09:42 AM,09:35 PM,8,SSE,0.0,82,46,1013,Cloudy
12,16,21,29,06:26 AM,05:18 PM,08:55 AM,08:35 PM,5,SW,0.0,76,13,1013,Sunny
12,15,20,30,06:26 AM,05:18 PM,08:02 AM,07:33 PM,7,S,0.0,81,44,1013,Overcast
12,14,20,27,06:25 AM,05:18 PM,07:04 AM,06:27 PM,7,SSE,0.0,84,58,1015,Cloudy
12,13,17,24,06:24 AM,05:17 PM,06:01 AM,05:22 PM,5,S,1.1,84,68,1016,Patchy rain possible
12,12,16,19,06:24 AM,05:17 PM,04:55 AM,04:18 PM,5,ENE,1.6,84,78,1018,Patchy rain possible
