month,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),current_weather,weather
1,12,18,6,17,9,21,6,22.5,0.0,69,41,1025,0,0
1,12,18,6,17,10,22,5,112.5,0.0,65,28,1025,0,0
1,12,20,6,17,10,23,5,112.5,0.0,75,41,1022,0,0
1,12,23,6,17,11,0,5,202.5,0.0,81,47,1018,0,1
1,14,23,6,17,12,0,5,157.5,0.1,90,77,1017,1,1
1,15,23,6,17,12,1,5,90.0,2.9,88,73,1018,1,1
1,13,16,6,17,13,2,9,45.0,0.0,85,95,1023,1,1
1,12,15,6,17,14,3,8,90.0,0.0,78,90,1026,1,0
1,11,19,6,17,15,4,10,135.0,0.0,60,21,1029,0,0
1,8,20,6,17,16,5,6,67.5,0.0,49,2,1027,0,0
1,8,21,6,17,17,6,4,90.0,0.0,47,1,1024,0,0
1,8,22,6,17,19,7,6,135.0,0.0,50,5,1028,0,0
1,8,21,6,17,20,8,6,135.0,0.0,45,3,1030,0,0
1,7,20,6,17,21,9,5,22.5,0.0,45,5,1029,0,0
1,8,21,6,17,22,9,5,67.5,0.0,42,7,1027,0,0
1,10,23,6,17,23,10,4,202.5,0.0,52,2,1024,0,0
1,11,24,6,17,23,10,5,180.0,0.0,67,5,1020,0,1
1,13,21,6,17,0,11,4,135.0,0.5,84,58,1018,1,1
1,15,25,6,17,0,12,8,157.5,1.4,80,45,1015,1,1
1,16,26,6,17,1,12,7,135.0,2.0,80,53,1014,1,1
1,15,19,6,17,2,13,9,135.0,1.7,85,76,1019,1,0
1,15,24,6,17,3,14,6,135.0,0.0,72,34,1015,0,1
1,13,17,6,17,4,15,9,90.0,4.2,87,90,1019,1,1
1,10,13,6,17,5,16,9,45.0,1.7,78,97,1025,1,0
1,9,12,6,17,5,17,3,135.0,0.0,76,72,1021,0,1
1,10,11,6,17,6,17,7,90.0,0.3,85,94,1021,1,0
1,9,13,6,17,7,18,3,202.5,0.0,82,59,1020,0,1
1,8,18,6,17,7,19,3,157.5,0.0,80,79,1017,1,1
1,14,19,6,17,8,20,5,202.5,0.0,84,58,1018,1,0
1,11,25,6,17,8,21,4,135.0,0.0,72,2,1017,0,0
1,12,24,6,17,9,22,7,135.0,0.0,76,15,1016,0,1
2,14,19,6,17,10,23,3,67.5,0.0,91,88,1018,1,1
