month,date,min_temp,max_temp,sunrise,sunset,moonrise,moonset,wind_speed(km/h),wind_dir,rain(mm),humidity(%),cloud(%),pressure(mb),weather
1,1,12,18,06:33 AM,05:27 PM,09:38 AM,09:32 PM,6,NNE,0.0,69,41,1025,Cloudy
1,2,12,18,06:34 AM,05:28 PM,10:11 AM,10:23 PM,5,ESE,0.0,65,28,1025,Partly cloudy
1,3,12,20,06:34 AM,05:28 PM,10:44 AM,11:16 PM,5,ESE,0.0,75,41,1022,Cloudy
1,4,12,23,06:34 AM,05:29 PM,11:19 AM,No moonset,5,SSW,0.0,81,47,1018,Cloudy
1,5,14,23,06:35 AM,05:29 PM,11:56 AM,12:11 AM,5,SSE,0.1,90,77,1017,Patchy rain possible
1,6,15,23,06:35 AM,05:30 PM,12:38 PM,01:10 AM,5,E,2.9,88,73,1018,Patchy rain possible
1,7,13,16,06:35 AM,05:31 PM,01:27 PM,02:13 AM,9,NE,0.0,85,95,1023,Overcast
1,8,12,15,06:35 AM,05:31 PM,02:24 PM,03:20 AM,8,E,0.0,78,90,1026,Overcast
1,9,11,19,06:35 AM,05:32 PM,03:28 PM,04:28 AM,10,SE,0.0,60,21,1029,Partly cloudy
1,10,8,20,06:36 AM,05:33 PM,04:37 PM,05:34 AM,6,ENE,0.0,49,2,1027,Sunny
1,11,8,21,06:36 AM,05:33 PM,05:48 PM,06:34 AM,4,E,0.0,47,1,1024,Sunny
1,12,8,22,06:36 AM,05:34 PM,06:56 PM,07:28 AM,6,SE,0.0,50,5,1028,Sunny
1,13,8,21,06:36 AM,05:35 PM,08:01 PM,08:14 AM,6,SE,0.0,45,3,1030,Sunny
1,14,7,20,06:36 AM,05:35 PM,09:01 PM,08:55 AM,5,NNE,0.0,45,5,1029,Sunny
1,15,8,21,06:36 AM,05:36 PM,09:58 PM,09:33 AM,5,ENE,0.0,42,7,1027,Sunny
1,16,10,23,06:36 AM,05:37 PM,10:53 PM,10:08 AM,4,SSW,0.0,52,2,1024,Sunny
1,17,11,24,06:36 AM,05:38 PM,11:47 PM,10:44 AM,5,S,0.0,67,5,1020,Sunny
1,18,13,21,06:36 AM,05:38 PM,No moonrise,11:20 AM,4,SE,0.5,84,58,1018,Patchy rain possible
1,19,15,25,06:36 AM,05:39 PM,12:40 AM,11:58 AM,8,SSE,1.4,80,45,1015,Patchy rain possible
1,20,16,26,06:36 AM,05:40 PM,01:35 AM,12:39 PM,7,SE,2.0,80,53,1014,Patchy rain possible
1,21,15,19,06:36 AM,05:40 PM,02:28 AM,01:24 PM,9,SE,1.7,85,76,1019,Moderate rain at times
1,22,15,24,06:36 AM,05:41 PM,03:22 AM,02:12 PM,6,SE,0.0,72,34,1015,Partly cloudy
1,23,13,17,06:36 AM,05:42 PM,04:13 AM,03:04 PM,9,E,4.2,87,90,1019,Moderate rain at times
1,24,10,13,06:35 AM,05:42 PM,05:02 AM,03:57 PM,9,NE,1.7,78,97,1025,Patchy rain possible
1,25,9,12,06:35 AM,05:43 PM,05:46 AM,04:51 PM,3,SE,0.0,76,72,1021,Cloudy
